CMDLINE C:\Users\jonah\PycharmProjects\WarrenNolanScraper_cloud\.venv\Scripts\python.exe main.py
MEM 1.683594 1737411827.0295
MEM 14.207031 1737411827.1300
MEM 19.640625 1737411827.2305
MEM 26.171875 1737411827.3308
MEM 28.824219 1737411827.4312
MEM 31.246094 1737411827.5318
MEM 36.265625 1737411827.6324
MEM 39.316406 1737411827.7331
MEM 41.625000 1737411827.8339
MEM 43.175781 1737411827.9343
MEM 43.492188 1737411828.0348
MEM 43.738281 1737411828.1352
MEM 46.636719 1737411828.2354
MEM 47.867188 1737411828.3360
MEM 47.867188 1737411828.4366
MEM 47.867188 1737411828.5372
MEM 47.867188 1737411828.6377
MEM 47.867188 1737411828.7384
MEM 47.867188 1737411828.8434
MEM 47.867188 1737411828.9438
MEM 47.867188 1737411829.0446
MEM 47.867188 1737411829.1453
MEM 47.867188 1737411829.2461
MEM 47.867188 1737411829.3465
MEM 48.058594 1737411829.4472
MEM 48.058594 1737411829.5475
MEM 48.058594 1737411829.6481
MEM 48.058594 1737411829.7486
MEM 48.058594 1737411829.8495
MEM 48.058594 1737411829.9507
MEM 48.058594 1737411830.0513
MEM 48.058594 1737411830.1520
MEM 48.058594 1737411830.2524
MEM 48.058594 1737411830.3530
MEM 48.058594 1737411830.4538
MEM 48.058594 1737411830.5546
MEM 48.058594 1737411830.6571
MEM 48.058594 1737411830.7578
MEM 48.058594 1737411830.8584
MEM 48.058594 1737411830.9590
MEM 48.058594 1737411831.0595
MEM 48.058594 1737411831.1602
MEM 48.058594 1737411831.2609
MEM 48.058594 1737411831.3613
MEM 48.058594 1737411831.4630
MEM 48.058594 1737411831.5634
MEM 48.058594 1737411831.6642
MEM 48.058594 1737411831.7647
MEM 48.058594 1737411831.8649
MEM 48.058594 1737411831.9660
MEM 48.058594 1737411832.0666
MEM 48.058594 1737411832.1683
MEM 48.058594 1737411832.2692
MEM 48.058594 1737411832.3699
MEM 48.058594 1737411832.4719
MEM 48.058594 1737411832.5724
MEM 48.058594 1737411832.6729
MEM 48.058594 1737411832.7744
MEM 48.058594 1737411832.8756
MEM 48.058594 1737411832.9763
MEM 48.058594 1737411833.0767
MEM 48.058594 1737411833.1775
MEM 48.058594 1737411833.2784
MEM 48.058594 1737411833.3788
MEM 48.058594 1737411833.4790
MEM 48.058594 1737411833.5793
